Date,Bridgewater,AQR,MAN,Winton,Gresham
4/30/2002,0.0329739,NA,NA,NA,NA
5/31/2002,0.071036555,NA,NA,NA,NA
6/30/2002,0.078683577,NA,NA,NA,NA
7/31/2002,-0.049084027,NA,NA,NA,NA
8/31/2002,0.049716103,NA,NA,NA,NA
9/30/2002,-0.040172592,NA,NA,NA,NA
10/31/2002,0.05630277,NA,NA,NA,NA
11/30/2002,0.027545519,NA,NA,NA,NA
12/31/2002,0.025869221,NA,NA,NA,NA
1/31/2003,0.049159067,NA,NA,NA,NA
2/28/2003,0.042304157,NA,NA,NA,NA
3/31/2003,-0.015899014,NA,NA,NA,NA
4/30/2003,0.042654741,NA,NA,NA,NA
5/31/2003,0.089254982,NA,NA,NA,NA
6/30/2003,0.003118547,NA,NA,NA,NA
7/31/2003,-0.008076821,NA,NA,NA,NA
8/31/2003,0.034554383,NA,NA,NA,NA
9/30/2003,0.050251653,NA,NA,NA,NA
10/31/2003,0.055159964,NA,NA,NA,NA
11/30/2003,0.022221315,NA,NA,NA,NA
12/31/2003,0.037859276,NA,NA,NA,NA
1/31/2004,-0.001993345,NA,NA,NA,NA
2/29/2004,-0.002359337,NA,NA,NA,NA
3/31/2004,0.053089897,NA,NA,NA,NA
4/30/2004,-0.049354937,NA,NA,NA,NA
5/31/2004,0.0313528,NA,NA,NA,NA
6/30/2004,0.010803934,NA,NA,NA,NA
7/31/2004,-0.003173917,NA,NA,NA,NA
8/31/2004,0.033695321,NA,NA,NA,NA
9/30/2004,0.040709645,NA,NA,NA,NA
10/31/2004,0.066058669,NA,NA,NA,NA
11/30/2004,0.101076922,NA,NA,NA,NA
12/31/2004,-0.006558018,NA,NA,NA,NA
1/31/2005,0.030883396,NA,NA,NA,NA
2/28/2005,0.04029635,NA,NA,NA,NA
3/31/2005,-0.008610304,NA,NA,NA,NA
4/30/2005,0.014648501,NA,NA,NA,NA
5/31/2005,-0.01094801,NA,NA,NA,NA
6/30/2005,0.012948525,NA,NA,NA,NA
7/31/2005,-0.014900942,NA,NA,NA,NA
8/31/2005,-0.024379366,NA,NA,NA,NA
9/30/2005,0.04687784,NA,NA,NA,NA
10/31/2005,-0.015075982,NA,NA,NA,NA
11/30/2005,-0.00737998,NA,NA,NA,NA
12/31/2005,0.010519658,NA,NA,NA,NA
1/31/2006,0.049548763,NA,NA,NA,NA
2/28/2006,0.02240249,NA,NA,NA,NA
3/31/2006,-0.013286704,NA,NA,NA,NA
4/30/2006,0.07674117,NA,NA,NA,NA
5/31/2006,0.028379804,NA,NA,NA,NA
6/30/2006,-0.033098612,NA,NA,NA,NA
7/31/2006,0.005480545,NA,NA,NA,NA
8/31/2006,-0.035432937,NA,NA,NA,NA
9/30/2006,-0.040959622,NA,NA,NA,NA
10/31/2006,-0.003275617,NA,NA,NA,NA
11/30/2006,0.006183819,NA,NA,NA,NA
12/31/2006,0.015475618,NA,NA,NA,NA
1/31/2007,-0.010385421,NA,NA,NA,NA
2/28/2007,-0.009116819,NA,NA,NA,NA
3/31/2007,0.025564818,NA,NA,NA,NA
4/30/2007,0.006245736,NA,NA,NA,NA
5/31/2007,0.019896808,NA,NA,NA,NA
6/30/2007,0.005010022,NA,NA,NA,NA
7/31/2007,0.011343171,NA,NA,NA,NA
8/31/2007,0.006614891,NA,NA,NA,NA
9/30/2007,0.053167213,NA,NA,NA,NA
10/31/2007,0.055818622,NA,NA,NA,NA
